signal_time,entry_time,exit_time,calendar_year,trend_regime,volatility_regime,regime,trend_90d,volatility_30d,trend_threshold_past_median,volatility_threshold_past_median,exit_reason,net_return,initial_risk_return,result_r
2021-06-30T22:00:00+00:00,2021-06-30T23:00:00+00:00,2021-07-01T02:00:00+00:00,2021,weak,low,weak_low,-0.40962794542849856,0.2716440519679708,-0.01796637773700316,0.2809612424272756,stop,-0.027908568822047185,0.02680856882204715,-1.0410316569788465
2021-07-01T04:00:00+00:00,2021-07-01T05:00:00+00:00,2021-07-01T07:00:00+00:00,2021,weak,low,weak_low,-0.42478454348765904,0.27143166579565653,-0.024460676361232003,0.28084154554897234,stop,-0.02861124320652164,0.027611243206521748,-1.0362171305551244
2021-07-16T03:00:00+00:00,2021-07-16T04:00:00+00:00,2021-07-16T06:00:00+00:00,2021,weak,low,weak_low,-0.4892914199748113,0.23661416017036846,-0.22170553707417606,0.2759712261814502,stop,-0.022584062894501877,0.021584062894501876,-1.0463304802662863
2021-07-20T15:00:00+00:00,2021-07-20T16:00:00+00:00,2021-07-20T22:00:00+00:00,2021,weak,low,weak_low,-0.4681881132466622,0.23023433252333075,-0.23420787840106116,0.2756101600449757,stop,-0.022198520403355126,0.021198520403355015,-1.0471731036399052
2021-07-20T23:00:00+00:00,2021-07-21T00:00:00+00:00,2021-07-21T04:00:00+00:00,2021,weak,low,weak_low,-0.4465446096654275,0.22941597946683845,-0.2347631064799739,0.2756005328817155,take,0.030027802673836645,0.023270852005377558,1.2903611207229393
2021-08-01T21:00:00+00:00,2021-08-01T22:00:00+00:00,2021-08-01T22:00:00+00:00,2021,weak,low,weak_low,-0.28116798141399113,0.19174924670166538,-0.26586299018488146,0.2731655859569242,stop,-0.021431632099156328,0.020431632099156334,-1.0489437160549346
2021-08-02T14:00:00+00:00,2021-08-02T15:00:00+00:00,2021-08-03T01:00:00+00:00,2021,weak,low,weak_low,-0.27855403699826575,0.19269411104044373,-0.26766041226715703,0.2729894637045127,stop,-0.028309831631875736,0.02720983163187566,-1.0404265640038526
2021-08-05T15:00:00+00:00,2021-08-05T16:00:00+00:00,2021-08-06T16:00:00+00:00,2021,weak,low,weak_low,-0.327230799648216,0.18937441644855726,-0.27204791653121396,0.2722780595068888,take,0.03748422880534773,0.028938171604010784,1.295321256583898
2021-08-13T02:00:00+00:00,2021-08-13T03:00:00+00:00,2021-08-13T07:00:00+00:00,2021,strong,low,strong_low,-0.096670542976667,0.20231139762393704,-0.2630671830749751,0.27067846841078536,take,0.028701410729204846,0.022276058046903673,1.2884420874093692
2021-08-17T11:00:00+00:00,2021-08-17T12:00:00+00:00,2021-08-17T14:00:00+00:00,2021,strong,low,strong_low,0.21069936203219686,0.20302687123675514,-0.2530036212761224,0.26829567858333275,stop,-0.020401016887764856,0.019401016887764837,-1.0515436899923871
2021-08-30T22:00:00+00:00,2021-08-30T23:00:00+00:00,2021-08-30T23:00:00+00:00,2021,strong,low,strong_low,0.30838147377136527,0.17011013943825593,-0.22515853073752012,0.25687351819501947,stop,-0.01754672508888122,0.016546725088881293,-1.0604349195764355
2021-08-31T09:00:00+00:00,2021-08-31T10:00:00+00:00,2021-08-31T11:00:00+00:00,2021,strong,low,strong_low,0.27246735072874984,0.17019439922713825,-0.2239416341789816,0.2565023668048963,take,0.025357361044561544,0.019768020783421148,1.2827465795578286
