signal_ts,signal_time,entry_time,exit_time,calendar_year,quarter,half_year,regime,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r
1620547200000,2021-05-09T08:00:00+00:00,2021-05-09T09:00:00+00:00,2021-05-09T12:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.02655868818978646,0.0,0.001,-0.027558688189786462,0.026558688189786458,-1.0376524620814882
1620576000000,2021-05-09T16:00:00+00:00,2021-05-09T17:00:00+00:00,2021-05-10T03:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.03751853605070976,0.0,0.001,0.03651853605070976,0.0281389020380324,1.2977953440170298
1620669600000,2021-05-10T18:00:00+00:00,2021-05-10T19:00:00+00:00,2021-05-10T19:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.02661477756978603,0.0,0.001,-0.02761477756978603,0.026614777569786065,-1.0375731113054725
1620727200000,2021-05-11T10:00:00+00:00,2021-05-11T11:00:00+00:00,2021-05-12T02:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.055163654091723524,0.0,0.001,0.05416365409172352,0.04137274056879262,1.3091628291256843
1620964800000,2021-05-14T04:00:00+00:00,2021-05-14T05:00:00+00:00,2021-05-14T13:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.06696215628507307,0.0,0.001,0.06596215628507307,0.05022161721380471,1.313421589039185
1621238400000,2021-05-17T08:00:00+00:00,2021-05-17T09:00:00+00:00,2021-05-17T14:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.049309478837569753,0.0,0.001,-0.050309478837569754,0.049309478837569774,-1.0202800764391382
1621328400000,2021-05-18T09:00:00+00:00,2021-05-18T10:00:00+00:00,2021-05-18T14:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.0447061181774735,0.0,0.001,-0.0457061181774735,0.04470611817747352,-1.0223683030593307
1621368000000,2021-05-18T20:00:00+00:00,2021-05-18T21:00:00+00:00,2021-05-19T01:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.0421946022727272,-0.0001,0.001,-0.0432946022727272,0.04219460227272728,-1.0260696852381734
1621494000000,2021-05-20T07:00:00+00:00,2021-05-20T08:00:00+00:00,2021-05-21T08:00:00+00:00,2021,2021-04,2021-01,weak_high,time,-0.0030605848298241867,-0.00030000000000000003,0.001,-0.004360584829824187,0.14648701095173122,-0.029767723441780365
1621677600000,2021-05-22T10:00:00+00:00,2021-05-22T11:00:00+00:00,2021-05-22T19:00:00+00:00,2021,2021-04,2021-01,weak_high,stop,-0.0814130986201298,0.0,0.001,-0.0824130986201298,0.08141309862012985,-1.0122830357393213
1621800000000,2021-05-23T20:00:00+00:00,2021-05-23T21:00:00+00:00,2021-05-24T07:00:00+00:00,2021,2021-04,2021-01,weak_high,take,0.1064340844892997,0.0,0.001,0.1054340844892997,0.07982556336697465,1.3208060180495986
1621976400000,2021-05-25T21:00:00+00:00,2021-05-25T22:00:00+00:00,2021-05-26T02:00:00+00:00,2021,2021-04,2021-01,weak_high,take,0.07298529995418601,0.0,0.001,0.07198529995418601,0.054738974965639446,1.3150648144100683
1622106000000,2021-05-27T09:00:00+00:00,2021-05-27T10:00:00+00:00,2021-05-28T01:00:00+00:00,2021,2021-04,2021-01,weak_high,stop,-0.04150233732738706,-0.0001,0.001,-0.042602337327387066,0.041502337327387034,-1.0265045313309173
1622350800000,2021-05-30T05:00:00+00:00,2021-05-30T06:00:00+00:00,2021-05-31T06:00:00+00:00,2021,2021-04,2021-01,weak_high,time,0.008206785682640216,0.0,0.001,0.007206785682640216,0.04274332381149289,0.16860611295517558
1622610000000,2021-06-02T05:00:00+00:00,2021-06-02T06:00:00+00:00,2021-06-02T13:00:00+00:00,2021,2021-04,2021-01,weak_high,take,0.044263531230580355,-0.0001,0.001,0.04316353123058035,0.033197648422935225,1.3001984562484856
1622840400000,2021-06-04T21:00:00+00:00,2021-06-04T22:00:00+00:00,2021-06-04T23:00:00+00:00,2021,2021-04,2021-01,weak_high,stop,-0.03031317577580428,0.0,0.001,-0.03131317577580428,0.030313175775804314,-1.0329889552779277
1622851200000,2021-06-05T00:00:00+00:00,2021-06-05T01:00:00+00:00,2021-06-05T09:00:00+00:00,2021,2021-04,2021-01,weak_high,stop,-0.031173130479069777,0.0,0.001,-0.03217313047906978,0.03117313047906979,-1.0320789084904836
1622955600000,2021-06-06T05:00:00+00:00,2021-06-06T06:00:00+00:00,2021-06-07T01:00:00+00:00,2021,2021-04,2021-01,weak_high,take,0.037766401100872926,-0.0001,0.001,0.03666640110087292,0.02832480082565468,1.2944981087973966
1623182400000,2021-06-08T20:00:00+00:00,2021-06-08T21:00:00+00:00,2021-06-09T01:00:00+00:00,2021,2021-04,2021-01,weak_high,stop,-0.03985963347644916,0.0,0.001,-0.040859633476449164,0.039859633476449045,-1.025088038016982
1623492000000,2021-06-12T10:00:00+00:00,2021-06-12T11:00:00+00:00,2021-06-13T03:00:00+00:00,2021,2021-04,2021-01,weak_high,stop,-0.024822431899132025,0.0,0.001,-0.025822431899132026,0.024822431899132087,-1.0402861413443902
1624111200000,2021-06-19T14:00:00+00:00,2021-06-19T15:00:00+00:00,2021-06-19T18:00:00+00:00,2021,2021-04,2021-01,weak_high,stop,-0.02455258984848696,-0.0001,0.001,-0.02565258984848696,0.024552589848486857,-1.0448017910447804
1624212000000,2021-06-20T18:00:00+00:00,2021-06-20T19:00:00+00:00,2021-06-20T19:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.029135718431256175,0.0,0.001,0.028135718431256174,0.021851788823442225,1.2875704894728186
1624240800000,2021-06-21T02:00:00+00:00,2021-06-21T03:00:00+00:00,2021-06-21T04:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.02543095375141613,0.0,0.001,-0.02643095375141613,0.025430953751416123,-1.0393221587273078
1625076000000,2021-06-30T18:00:00+00:00,2021-06-30T19:00:00+00:00,2021-06-30T21:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.03409155937052932,0.0,0.001,0.03309155937052932,0.025568669527897006,1.2942229682473065
