date,daily_return,equity_multiple
2024-10-11,0.0057584451,7.5334073651
2024-10-12,0.0018103298,7.5470453166
2024-10-13,0.0031359672,7.5707126029
2024-10-14,-0.0028271898,7.5493087611
2024-10-15,0.0008319445,7.5555893667
2024-10-16,-0.0019723561,7.5406870539
2024-10-17,-0.0069423488,7.4883369745
2024-10-18,-0.0049613694,7.4511845686
2024-10-19,0.0050605134,7.4888913881
2024-10-20,0.0064088978,7.5368869276
2024-10-21,-0.0082502822,7.4747054838
2024-10-22,0.0005390575,7.4787347796
2024-10-23,0.0032380482,7.5029512833
2024-10-24,0.0030362876,7.5257324011
2024-10-25,-0.0074941210,7.4693336522
2024-10-26,0.0050262229,7.5068761880
2024-10-27,0.0043804167,7.5397594335
2024-10-28,0.0004000176,7.5427754699
2024-10-29,-0.0123680756,7.4494858530
2024-10-30,-0.0164794733,7.3267222494
2024-10-31,0.0057487762,7.3688419357
2024-11-01,-0.0054425200,7.3287368661
2024-11-02,-0.0020790871,7.3134997835
2024-11-03,-0.0003603828,7.3108641241
2024-11-04,-0.0010929715,7.3028735579
2024-11-05,0.0044777234,7.3355738056
2024-11-06,-0.0045447749,7.3022352741
2024-11-07,-0.0055270000,7.2618758199
2024-11-08,0.0059230041,7.3048879402
2024-11-09,-0.0028635069,7.2839703432
2024-11-10,0.0101638455,7.3580034927
2024-11-11,0.0166105038,7.4802236373
2024-11-12,0.0058365723,7.5238825037
2024-11-13,-0.0001020638,7.5231145878
2024-11-14,-0.0354186160,7.2566562812
2024-11-15,-0.0383986499,6.9780104770
2024-11-16,0.0053922703,7.0156377953
2024-11-17,-0.0132510234,6.9226734144
2024-11-18,0.0090593307,6.9853882023
2024-11-19,-0.0160733088,6.8731099007
2024-11-20,-0.0026297032,6.8550356619
2024-11-21,-0.0033742343,6.8319051652
2024-11-22,0.0395430321,7.1020594107
2024-11-23,0.0467261029,7.4339109698
2024-11-24,0.0059665834,7.4782660198
2024-11-25,-0.0216287212,7.3165206888
2024-11-26,-0.0015747120,7.3049992761
2024-11-27,-0.0217173605,7.1463539734
2024-11-28,0.0124570184,7.2353762366
2024-11-29,0.0097196274,7.3057013977
2024-11-30,-0.0201078701,7.1587993032
2024-12-01,0.0000800280,7.1593722074
2024-12-02,-0.0476765386,6.8180381217
2024-12-03,-0.0424533510,6.5285895565
2024-12-04,0.0025036750,6.5449350231
2024-12-05,-0.0031085433,6.5245898093
2024-12-06,0.0110721290,6.5968309093
2024-12-07,0.0049765299,6.6296602353
2024-12-08,-0.0102446171,6.5617419046
2024-12-09,0.0079060786,6.6136195518
2024-12-10,0.0038091602,6.6388118884
2024-12-11,0.0035976054,6.6626957142
2024-12-12,-0.0209369710,6.5231990474
2024-12-13,0.0105941299,6.5923066656
2024-12-14,0.0019996855,6.6054892059
2024-12-15,0.0039213420,6.6313915880
2024-12-16,0.0046003305,6.6618981811
2024-12-17,0.0079350202,6.7147604774
2024-12-18,-0.0002334298,6.7131930522
2024-12-19,0.0077009847,6.7648912491
2024-12-20,-0.0021337625,6.7504565781
2024-12-21,-0.0023652616,6.7344899822
2024-12-22,0.0028313580,6.7535577343
2024-12-23,0.0175774677,6.8722681774
2024-12-24,-0.0087172079,6.8123611870
2024-12-25,0.0016116908,6.8233406066
2024-12-26,0.0069464521,6.8707386154
2024-12-27,0.0062791936,6.9138813134
2024-12-28,0.0163308294,7.0267907292
