side,signal_time,entry_time,exit_time,entry,exit,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r,mae_r,mfe_r
long,2021-04-15T00:00:00+00:00,2021-04-15T01:00:00+00:00,2021-04-15T22:00:00+00:00,2420.38,2508.351666666667,take,0.03634622111679442,-0.00110097,0.001,0.03424525111679442,0.027259665837595745,1.2562608551702918,-0.26129625068677803,1.9219824564727237
long,2021-04-16T20:00:00+00:00,2021-04-16T21:00:00+00:00,2021-04-17T13:00:00+00:00,2458.1,2385.9025,stop,-0.029371262357104966,-0.0009833,0.001,-0.031354562357104966,0.029371262357105066,-1.0675251875757437,-1.1510093839814397,0.5701028428962293
long,2021-04-18T20:00:00+00:00,2021-04-18T21:00:00+00:00,2021-04-19T14:00:00+00:00,2224.14,2125.101875,stop,-0.04452872795777241,-0.0002,0.001,-0.04572872795777241,0.04452872795777247,-1.0269488946807086,-1.0310170956891573,0.5496873047626882
long,2021-04-20T10:00:00+00:00,2021-04-20T11:00:00+00:00,2021-04-20T18:00:00+00:00,2182.39,2285.438333333333,take,0.047218111031178234,0.0,0.001,0.04621811103117823,0.03541358327338375,1.3050955808223728,-0.5451163693412446,1.484352003105341
long,2021-04-21T13:00:00+00:00,2021-04-21T14:00:00+00:00,2021-04-22T05:00:00+00:00,2387.8,2484.2283333333335,take,0.040383756316832775,-0.00023315,0.001,0.03915060631683277,0.03028781723762455,1.2926189434410138,-0.992792574796484,1.3733169711530164
long,2021-04-22T06:00:00+00:00,2021-04-22T07:00:00+00:00,2021-04-22T12:00:00+00:00,2477.37,2581.810833333333,take,0.04215794707021292,-0.00011151,0.001,0.04104643707021292,0.03161846030265962,1.298179502648339,-0.805304438717297,1.5017114953442556
long,2021-04-22T13:00:00+00:00,2021-04-22T14:00:00+00:00,2021-04-22T20:00:00+00:00,2543.51,2462.885,stop,-0.03169832239700254,0.0,0.001,-0.032698322397002544,0.03169832239700252,-1.0315474108527138,-1.9620465116279096,1.2666046511627909
long,2021-04-23T18:00:00+00:00,2021-04-23T19:00:00+00:00,2021-04-24T10:00:00+00:00,2346.92,2208.965,stop,-0.058781296337327205,0.0,0.001,-0.059781296337327205,0.05878129633732721,-1.0170122141277953,-1.164292704142654,0.22529085571382051
long,2021-04-25T18:00:00+00:00,2021-04-25T19:00:00+00:00,2021-04-25T20:00:00+00:00,2298.8,2239.3568750000004,stop,-0.02585832825822154,0.0,0.001,-0.026858328258221542,0.025858328258221683,-1.0386722602487617,-1.476369218475648,0.2538561019461848
long,2021-04-25T23:00:00+00:00,2021-04-26T00:00:00+00:00,2021-04-26T00:00:00+00:00,2320.71,2410.8575,take,0.03884479318829159,0.0,0.001,0.03784479318829159,0.029133594891218636,1.2990086987067517,-0.2557290366713806,1.4613087809793222
long,2021-04-28T20:00:00+00:00,2021-04-28T21:00:00+00:00,2021-04-29T12:00:00+00:00,2706.07,2796.3191666666667,take,0.03335064010416078,0.0,0.001,0.03235064010416078,0.025012980078120653,1.2933540906810428,-0.5495895622304959,1.3581658187056218
long,2021-04-29T14:00:00+00:00,2021-04-29T15:00:00+00:00,2021-04-29T18:00:00+00:00,2765.26,2703.4618750000004,stop,-0.02234803418123421,0.0,0.001,-0.023348034181234212,0.02234803418123429,-1.0447466650484911,-1.0346592230751335,0.4812443743236502
long,2021-05-04T00:00:00+00:00,2021-05-04T01:00:00+00:00,2021-05-04T05:00:00+00:00,3267.26,3395.9825,take,0.039397691031628934,0.0,0.001,0.03839769103162893,0.02954826827372172,1.2994904024807878,-0.8484401198961603,1.3628283063696396
long,2021-05-04T06:00:00+00:00,2021-05-04T07:00:00+00:00,2021-05-04T13:00:00+00:00,3358.0,3511.5408333333335,take,0.04572389319039116,0.0,0.001,0.04472389319039116,0.034292919892793323,1.304172795148596,-0.6860281466927911,1.490504697447473
long,2021-05-04T18:00:00+00:00,2021-05-04T19:00:00+00:00,2021-05-04T23:00:00+00:00,3382.19,3237.6225,stop,-0.04274375478610015,0.0,0.001,-0.04374375478610015,0.04274375478610011,-1.0233952306016232,-1.1207221540111019,0.3237933837134919
long,2021-05-05T10:00:00+00:00,2021-05-05T11:00:00+00:00,2021-05-06T11:00:00+00:00,3386.21,3531.34,time,0.04285912568919237,0.0,0.001,0.04185912568919237,0.039747054967057556,1.0531377915643134,-0.7659451954287742,1.2372960849234031
long,2021-05-06T16:00:00+00:00,2021-05-06T17:00:00+00:00,2021-05-06T18:00:00+00:00,3544.84,3457.219375,stop,-0.024717794033016993,0.0,0.001,-0.025717794033016994,0.024717794033017,-1.0404566847132166,-1.6227914375182786,0.6261082935667249
long,2021-05-09T08:00:00+00:00,2021-05-09T09:00:00+00:00,2021-05-09T12:00:00+00:00,3926.94,3822.645625,stop,-0.02655868818978646,0.0,0.001,-0.027558688189786462,0.026558688189786458,-1.0376524620814882,-1.8883089332478395,0.15398721167848275
long,2021-05-09T16:00:00+00:00,2021-05-09T17:00:00+00:00,2021-05-10T03:00:00+00:00,3929.28,4076.7008333333333,take,0.03751853605070976,0.0,0.001,0.03651853605070976,0.0281389020380324,1.2977953440170298,-0.723009524886241,1.3541279217659146
long,2021-05-10T18:00:00+00:00,2021-05-10T19:00:00+00:00,2021-05-10T19:00:00+00:00,4134.78,4024.73375,stop,-0.02661477756978603,0.0,0.001,-0.02761477756978603,0.026614777569786065,-1.0375731113054725,-1.4847393709463044,0.22917636902666275
long,2021-05-11T10:00:00+00:00,2021-05-11T11:00:00+00:00,2021-05-12T02:00:00+00:00,4040.84,4263.7475,take,0.055163654091723524,0.0,0.001,0.05416365409172352,0.04137274056879262,1.3091628291256843,-0.8424421191151795,1.4006407740131377
