key,family,signal_tf_minutes,fast_window,slow_window,entry_threshold,exit_threshold,stop_atr,take_atr,max_holding_bars,valid,zero_trade,invalid_reason,trades,net_pnl,net_return,daily_sharpe,annualized_sharpe,median_fold_sharpe,positive_folds,max_drawdown,active_assets,max_asset_positive_share,long_trades,short_trades,long_net_pnl,short_net_pnl,missing_bars,funding_events
c560e302aa644ab7e0f8,B,60,5,21,0.0,0.0,2.0,3.0,24,True,False,,61123,-58572.808946174686,-0.5857280894617468,-0.07990329683129534,-1.526550342519428,0.0,0,-5.669414658112843,10,0.15371631628221236,30588,30535,-26802.893400325047,-31769.915545849588,2,12077
c5698d84d3460b339710,A,60,3,21,0.0,0.0,2.0,2.0,24,True,False,,88195,-59395.88099386261,-0.593958809938626,-0.03649798895163467,-0.6972930998457398,0.0,0,-5.0667208169499425,10,0.16223179550410408,44016,44179,-26911.277142866988,-32484.603850995518,8,16167
c56cf117a84d63db7436,B,15,8,21,0.005,0.003,2.0,4.0,48,True,False,,44530,-38309.90947798397,-0.3830990947798397,-0.04638901181912547,-0.8862608263979409,0.0,0,-3.440819384418764,10,0.14090761929695214,22720,21810,-14461.958918089631,-23847.950559894653,2,15203
c56eeedccd63a49a6cc3,A,15,3,21,0.0,0.0,2.5,4.0,12,True,False,,152362,-85763.01688207286,-0.8576301688207286,-0.04582915104183176,-0.875564701266266,0.0,0,-8.576301688207158,10,0.14044732857544198,76789,75573,-42756.8624280354,-43006.154454038144,8,16464
c56f352f36af8440dc5f,A,60,8,13,0.005,0.003,2.0,2.0,12,True,False,,57506,-45586.4529754979,-0.455864529754979,-0.06220623284474811,-1.188448409788276,0.0,0,-4.470095549400409,10,0.1662480367027654,29318,28188,-16961.09240323023,-28625.36057226834,1,4575
c575357558d58c5c9c1f,B,15,8,34,0.0,0.0,2.5,4.0,12,True,False,,155179,-85499.90920820223,-0.8549990920820223,-0.08322193914874382,-1.5899529149701839,0.0,0,-8.426165793548677,10,0.15080143202392407,77334,77845,-39415.185279880854,-46084.72392832227,1,16911
c577d8d154cd7612a115,A,60,8,21,0.005,0.003,2.0,2.0,48,True,False,,29220,-20671.84204262521,-0.20671842042625208,-0.0006998548774993517,-0.01337070866069805,0.0,2,-1.7536245400098593,10,0.17612140912157517,14810,14410,-8427.6362669167,-12244.205775708455,3,11417
c57c78e56fb80f60ba0f,B,60,8,34,0.01,0.0,1.5,2.0,48,True,False,,22308,-27546.61583180633,-0.2754661583180633,-0.05508990171156332,-1.0524910943876167,0.0,0,-2.6807288995193317,10,0.1492405787166681,11439,10869,-15340.260817432267,-12206.355014374018,1,8557
c57cc371ed00ed2937a6,A,15,5,21,0.0,0.0,2.0,2.0,48,True,False,,80702,-68597.8444050292,-0.6859784440502921,-0.08713998070371941,-1.6648069937747365,0.0,0,-6.859784440502857,10,0.1477501534737738,40631,40071,-34208.21699728842,-34389.62740774065,8,19965
c57cdddafd2f9fc05e3f,A,15,5,34,0.005,0.0,1.5,4.0,24,True,False,,57140,-53403.02118905728,-0.5340302118905729,-0.06500271134548477,-1.2418750565280354,0.0,0,-5.340302118905759,10,0.15130031111056078,29584,27556,-25930.727992961904,-27472.29319609566,9,10499
c57d9680a30a430f2e3c,B,60,8,21,0.01,0.003,2.5,2.0,24,True,False,,33979,-35536.900245699835,-0.3553690024569984,-0.016866527603638073,-0.322234557415191,0.0,0,-3.3832530405014496,10,0.1525093167092837,17190,16789,-13799.153328150178,-21737.746917549743,1,6876
c5a1248c14db0955bf04,A,60,5,13,0.005,0.003,1.5,4.0,48,True,False,,26713,-22901.23315632231,-0.2290123315632231,-0.035199491573906616,-0.6724853422770312,-0.17050263858565487,1,-1.9400486734064075,10,0.16408042184913293,13538,13175,-6955.682829370321,-15945.550326951945,6,10295
c5ba02d167308ba51f52,B,15,5,13,0.0,0.0,1.5,2.0,12,True,False,,183542,-89979.18234133522,-0.8997918234133523,-0.06068316525506533,-1.1593502443443706,0.0,0,-8.939666219173937,10,0.16617750724183275,91017,92525,-44147.38523101974,-45831.797110317675,3,17620
c5c1e326f5f4865c406b,A,15,5,34,0.0,0.0,2.0,2.0,24,True,False,,101900,-74439.45913400486,-0.7443945913400486,-0.053813086657557935,-1.0280975770319913,0.0,0,-7.443415672642142,10,0.1356102877382385,51417,50483,-38657.17817093885,-35782.28096306539,9,17981
c5d14900f665b558eef9,A,15,3,21,0.01,0.0,2.0,2.0,12,True,False,,47368,-50458.09342380619,-0.5045809342380619,-0.0680211581897828,-1.2995424025171325,0.0,0,-5.045809342380606,10,0.1531018158358871,24151,23217,-23984.229003963923,-26473.864419842153,4,4976
