cost_scenario,vwap_hours,stop_atr,take_atr,hold_hours,is_baseline,is_immediate_neighbor,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,best_5_share
round_trip_0_05pct,48,1.2,2.5,48,False,False,0.017587255115610878,0.03188585280881554,19,0.4371210858511936,8.305300631172678,1.8852955202051462,-2.1582205362535216,1.2341797267944852
round_trip_0_10pct,48,1.2,2.5,48,False,False,0.017587255115610878,0.03188585280881554,19,0.4048373034208889,7.69190876499689,1.7930387906308944,-2.346996310223277,1.3145801712102674
round_trip_0_12pct,48,1.2,2.5,48,False,False,0.017587255115610878,0.03188585280881554,19,0.3919237904487672,7.446552018526576,1.7578074801684729,-2.4225066198111787,1.3504491135122418
round_trip_0_16pct,48,1.2,2.5,48,False,False,0.017587255115610878,0.03188585280881554,19,0.3660967645045235,6.955838525585946,1.6900113038566538,-2.5735272389869825,1.4297783361987295
round_trip_0_05pct,48,1.2,3.0,12,False,False,0.017587255115610878,0.03188585280881554,20,0.09282596844509369,1.856519368901874,1.1861003242429362,-5.134171823040503,5.7906054269352705
round_trip_0_10pct,48,1.2,3.0,12,False,False,0.017587255115610878,0.03188585280881554,20,0.060074678295679494,1.20149356591359,1.1155654640371553,-5.63731403240846,8.816269244709718
round_trip_0_12pct,48,1.2,3.0,12,False,False,0.017587255115610878,0.03188585280881554,20,0.0469741622359139,0.9394832447182779,1.088924565486974,-5.838570916155643,11.207883363668591
round_trip_0_16pct,48,1.2,3.0,12,False,False,0.017587255115610878,0.03188585280881554,20,0.020773130116382512,0.41546260232765025,1.0381104492036761,-6.2410846836500085,25.0406998914534
round_trip_0_05pct,48,1.2,3.0,24,False,False,0.017587255115610878,0.03188585280881554,18,0.005886874849309187,0.10596374728756536,1.0101961502691619,-5.343099862571167,88.9691209554977
round_trip_0_10pct,48,1.2,3.0,24,False,False,0.017587255115610878,0.03188585280881554,18,-0.026963291587059412,-0.4853392485670694,0.9546808109841135,-5.785106318679297,-19.054319815028535
round_trip_0_12pct,48,1.2,3.0,24,False,False,0.017587255115610878,0.03188585280881554,18,-0.04010335816160676,-0.7218604469089217,0.9333836540235575,-5.961908901122548,-12.711504591971723
round_trip_0_16pct,48,1.2,3.0,24,False,False,0.017587255115610878,0.03188585280881554,18,-0.06638349131070165,-1.1949028435926297,0.8922496469648205,-6.315514066009053,-7.558923039981231
round_trip_0_05pct,48,1.2,3.0,36,False,False,0.017587255115610878,0.03188585280881554,18,0.1911948046105626,3.4415064829901265,1.3300221719490053,-3.1310151734841543,3.3067898327349976
round_trip_0_10pct,48,1.2,3.0,36,False,False,0.017587255115610878,0.03188585280881554,18,0.158344638174194,2.850203487135492,1.2645633145610007,-3.283091897556443,3.92222943856563
round_trip_0_12pct,48,1.2,3.0,36,False,False,0.017587255115610878,0.03188585280881554,18,0.14520457159964667,2.61368228879364,1.2395392539613763,-3.343922587185358,4.246375858723313
round_trip_0_16pct,48,1.2,3.0,36,False,False,0.017587255115610878,0.03188585280881554,18,0.11892443845055177,2.140639892109932,1.191343912788048,-3.465583966443189,5.1095600500309795
round_trip_0_05pct,48,1.2,3.0,48,False,False,0.017587255115610878,0.03188585280881554,18,0.23311463655489628,4.196063457988133,1.4027119402192305,-2.7880858981838528,2.9142966030710755
round_trip_0_10pct,48,1.2,3.0,48,False,False,0.017587255115610878,0.03188585280881554,18,0.20026447011852772,3.6047604621334988,1.334870297763303,-2.9401626222561417,3.3365287330822855
round_trip_0_12pct,48,1.2,3.0,48,False,False,0.017587255115610878,0.03188585280881554,18,0.1871244035439804,3.368239263791647,1.3089362766531727,-3.0009933118850567,3.54693098455822
round_trip_0_16pct,48,1.2,3.0,48,False,False,0.017587255115610878,0.03188585280881554,18,0.1608442703948855,2.895196867107939,1.2589898635364465,-3.1226546911428876,4.070867526408622
round_trip_0_05pct,48,1.5,1.5,12,False,False,0.017587255115610878,0.03188585280881554,24,0.26823283345655463,6.437588002957312,1.9536274798275652,-2.0554321537991704,0.7616598468952334
round_trip_0_10pct,48,1.5,1.5,12,False,False,0.017587255115610878,0.03188585280881554,24,0.24387267324404935,5.852944157857184,1.84065294609226,-2.105584271712281,0.8212114204031326
round_trip_0_12pct,48,1.5,1.5,12,False,False,0.017587255115610878,0.03188585280881554,24,0.2341286091590473,5.619086619817135,1.7973641082541056,-2.1256451188775243,0.8485018696245156
round_trip_0_16pct,48,1.5,1.5,12,False,False,0.017587255115610878,0.03188585280881554,24,0.21464048098904306,5.151371543737033,1.7138348825694263,-2.1657668132080126,0.9105162182225272
round_trip_0_05pct,48,1.5,1.5,24,False,False,0.017587255115610878,0.03188585280881554,22,0.23199680979818085,5.103929815559979,1.679187333495639,-2.441874052207523,0.9605010563707627
round_trip_0_10pct,48,1.5,1.5,24,False,False,0.017587255115610878,0.03188585280881554,22,0.20777520159562932,4.571054435103845,1.5924135138390083,-2.7252165985646055,1.052058669973564
round_trip_0_12pct,48,1.5,1.5,24,False,False,0.017587255115610878,0.03188585280881554,22,0.19808655831460872,4.357904282921392,1.5589581739596492,-2.83855361710744,1.09495118009502
round_trip_0_16pct,48,1.5,1.5,24,False,False,0.017587255115610878,0.03188585280881554,22,0.17870927175256746,3.931603978556484,1.494077917719891,-3.065227654193107,1.1946885899118675
round_trip_0_05pct,48,1.5,1.5,36,False,False,0.017587255115610878,0.03188585280881554,22,0.2488735074065813,5.475217162944788,1.7151777222912026,-2.054483891074682,0.8953672217178186
round_trip_0_10pct,48,1.5,1.5,36,False,False,0.017587255115610878,0.03188585280881554,22,0.2246518992040297,4.942341782488653,1.630047056617741,-2.1038457900507184,0.9730240564120985
round_trip_0_12pct,48,1.5,1.5,36,False,False,0.017587255115610878,0.03188585280881554,22,0.21496325592300913,4.729191630306201,1.597130403981641,-2.210383172853783,1.0089869073495266
