scheme,cost_scenario,window,calibration_start,calibration_stop,oos_start,oos_stop,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,compounded_return
rolling_12m_3m,round_trip_0_05pct,11,2023-07-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.006417512187578467,0.021351140422050097,13,0.14894532976624744,1.9362892869612167,1.3744305939861845,-2.0750967860821588,0.106789604188547
rolling_12m_3m,round_trip_0_05pct,12,2023-10-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.008789579082230992,0.02429108814951584,11,0.0706290454953932,0.7769195004493252,1.1752347741898697,-3.1177505877573344,0.023287191608338587
rolling_12m_3m,round_trip_0_10pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.13036876171552625,0.2607375234310525,1.2496236092744664,-1.0445226883342034,0.021943762097513586
rolling_12m_3m,round_trip_0_10pct,2,2021-04-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.017099510772168758,0.039839193121952166,10,-0.3327619329433945,-3.3276193294339453,0.5358569763094821,-4.839495825602938,-0.24760089310092637
rolling_12m_3m,round_trip_0_10pct,3,2021-07-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.01399323117586726,0.036522808097565335,9,0.5930274059990577,5.337246653991519,4.52541354788507,-1.0438999356097964,0.1420047548511023
rolling_12m_3m,round_trip_0_10pct,4,2021-10-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,2022-10-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,0.013324572832723591,0.03597968116512935,4,-0.452249416074864,-1.808997664299456,0.42115979922600694,-2.099721319426111,-0.0137655215760919
rolling_12m_3m,round_trip_0_10pct,5,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0.011431985724523308,0.03405252165810479,2,0.10430469015718691,0.20860938031437382,1.1961841505036535,-1.0633345241132977,0.0035822297175611695
rolling_12m_3m,round_trip_0_10pct,6,2022-04-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.009810605881710455,0.030951055318177313,3,-0.004668070897336822,-0.014004212692010465,0.9888451339004137,-1.0648833759758027,-0.005463674830477383
rolling_12m_3m,round_trip_0_10pct,7,2022-07-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.0087056237010108,0.02581037886277187,1,-0.291547763359075,-0.291547763359075,0.0,-0.291547763359075,-0.004842183235055031
rolling_12m_3m,round_trip_0_10pct,8,2022-10-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.005531351537876983,0.01891389145192618,12,0.5553881244236164,6.664657493083396,3.01225122507663,-2.1301446034122375,0.08139259137426924
rolling_12m_3m,round_trip_0_10pct,9,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.0054518342492813066,0.018701477653569318,18,0.13287748195932594,2.391794675267867,1.35566150628172,-3.384961551014924,0.09447200553371093
rolling_12m_3m,round_trip_0_10pct,10,2023-04-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.005875559877624781,0.018972445767982363,21,-0.08244736466053633,-1.731394657871263,0.8516190159375928,-3.9980018286671095,-0.05987393247441797
