scheme,cost_scenario,window,side,signal_time,entry_time,exit_time,entry,exit,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r
anchored_12m_3m,round_trip_0_05pct,11,long,2024-08-12T17:00:00+00:00,2024-08-12T18:00:00+00:00,2024-08-12T23:00:00+00:00,2654.13,2744.9875,take,0.03423249803136996,0.0,0.0005,0.03373249803136996,0.025674373523527493,1.3138586614570424
anchored_12m_3m,round_trip_0_05pct,11,long,2024-08-28T18:00:00+00:00,2024-08-28T19:00:00+00:00,2024-08-29T19:00:00+00:00,2531.99,2527.54,time,-0.0017575108906432435,-7.510000000000001e-06,0.0005,-0.0022650208906432436,0.02455504366130986,-0.09224259267810313
anchored_12m_3m,round_trip_0_05pct,11,long,2024-09-07T08:00:00+00:00,2024-09-07T09:00:00+00:00,2024-09-08T09:00:00+00:00,2295.01,2293.99,time,-0.00044444250787600836,-0.00011104,0.0005,-0.0010554825078760083,0.02167419749805007,-0.048697651111233316
anchored_12m_3m,round_trip_0_05pct,12,long,2024-11-25T20:00:00+00:00,2024-11-25T21:00:00+00:00,2024-11-25T21:00:00+00:00,3504.59,3428.0281250000003,stop,-0.021846171734782094,0.0,0.0005,-0.022346171734782094,0.021846171734782094,-1.0228873052024914
anchored_12m_3m,round_trip_0_05pct,12,long,2024-11-27T04:00:00+00:00,2024-11-27T05:00:00+00:00,2024-11-27T13:00:00+00:00,3403.71,3490.8166666666666,take,0.025591682801022086,-0.00020895,0.0005,0.024882732801022087,0.019193762100766495,1.2963968538522421
anchored_12m_3m,round_trip_0_05pct,12,long,2024-12-06T14:00:00+00:00,2024-12-06T15:00:00+00:00,2024-12-07T15:00:00+00:00,3987.88,4007.66,time,0.004960028887529111,-0.0008123900000000001,0.0005,0.0036476388875291113,0.02208347543055458,0.16517503773351985
anchored_12m_3m,round_trip_0_05pct,12,long,2024-12-20T16:00:00+00:00,2024-12-20T17:00:00+00:00,2024-12-21T17:00:00+00:00,3382.18,3381.29,time,-0.00026314388944403966,-0.00016352,0.0005,-0.0009266638894440397,0.0414213244120656,-0.022371662485377027
anchored_12m_3m,round_trip_0_05pct,12,long,2024-12-23T03:00:00+00:00,2024-12-23T04:00:00+00:00,2024-12-23T06:00:00+00:00,3349.68,3278.21625,stop,-0.021334500609013318,0.0,0.0005,-0.02183450060901332,0.021334500609013367,-1.023436217662799
anchored_12m_3m,round_trip_0_05pct,12,long,2024-12-23T11:00:00+00:00,2024-12-23T12:00:00+00:00,2024-12-23T21:00:00+00:00,3338.11,3432.909166666667,take,0.028399054155395342,0.0,0.0005,0.027899054155395342,0.021299290616546458,1.309858373110409
anchored_12m_3m,round_trip_0_05pct,12,long,2024-12-24T03:00:00+00:00,2024-12-24T04:00:00+00:00,2024-12-24T15:00:00+00:00,3395.66,3489.7949999999996,take,0.02772215121655286,-8.121e-05,0.0005,0.027140941216552857,0.02079161341241465,1.3053792737579004
anchored_12m_3m,round_trip_0_10pct,1,long,2022-02-21T01:00:00+00:00,2022-02-21T02:00:00+00:00,2022-02-21T11:00:00+00:00,2712.35,2651.429375,stop,-0.02246045864287416,0.0,0.001,-0.02346045864287416,0.022460458642874208,-1.0445226883342034
